Date,open,high,low,Adjusted_Close,volume
2024-03-14 00:00:00+00:00,16841.0,16927.25,16660.25,16770.75,786709
2024-03-15 00:00:00+00:00,16750.0,16821.75,16505.25,16557.75,671985
2024-03-18 00:00:00+00:00,16572.5,16880.0,16561.25,16730.5,644558
2024-03-19 00:00:00+00:00,16721.0,16788.25,16552.25,16769.0,653962
2024-03-20 00:00:00+00:00,16773.0,17044.0,16726.5,16978.75,608527
2024-03-21 00:00:00+00:00,17038.75,17208.0,17025.75,17060.75,599533
2024-03-22 00:00:00+00:00,17079.5,17125.0,16991.0,17073.75,505243
2024-03-25 00:00:00+00:00,17066.0,17100.25,16913.75,17012.5,452041
2024-03-26 00:00:00+00:00,17030.25,17118.0,16938.25,16948.0,511034
2024-03-27 00:00:00+00:00,16976.5,17070.75,16877.5,17002.75,594456
2024-03-28 00:00:00+00:00,17004.0,17037.75,16946.5,16974.0,505512
2024-04-01 00:00:00+00:00,17002.0,17111.0,16913.5,16996.25,562748
2024-04-02 00:00:00+00:00,16996.25,17010.0,16700.5,16829.0,606699
2024-04-03 00:00:00+00:00,16844.0,16950.75,16731.5,16872.25,587654
2024-04-04 00:00:00+00:00,16887.5,17067.0,16554.25,16575.75,761860
2024-04-05 00:00:00+00:00,16585.25,16907.25,16550.5,16799.75,795926
2024-04-08 00:00:00+00:00,16847.25,16875.0,16736.5,16794.0,521042
2024-04-09 00:00:00+00:00,16813.75,16906.25,16659.75,16858.75,690981
2024-04-10 00:00:00+00:00,16880.0,16973.25,16552.5,16695.75,862743
2024-04-11 00:00:00+00:00,16683.0,17017.75,16587.0,16984.0,718057
2024-04-12 00:00:00+00:00,16985.25,17006.75,16619.25,16678.25,770507
2024-04-15 00:00:00+00:00,16650.0,16849.75,16340.5,16375.25,788234
2024-04-16 00:00:00+00:00,16378.0,16487.0,16291.0,16380.25,759116
2024-04-17 00:00:00+00:00,16396.0,16467.5,16114.25,16157.5,834573
2024-04-18 00:00:00+00:00,16168.75,16269.75,16005.25,16046.25,749579
2024-04-19 00:00:00+00:00,16029.75,16052.25,15612.25,15679.75,1012254
2024-04-22 00:00:00+00:00,15727.25,15947.0,15647.5,15849.0,633570
2024-04-23 00:00:00+00:00,15851.25,16165.0,15785.25,16105.75,592767
2024-04-24 00:00:00+00:00,16181.0,16294.5,15980.75,16163.5,659877
2024-04-25 00:00:00+00:00,15949.0,16326.5,15807.25,16066.5,808604
2024-04-26 00:00:00+00:00,16307.25,16400.5,16167.25,16344.75,620291
2024-04-29 00:00:00+00:00,16363.75,16448.0,16290.25,16403.25,525402
2024-04-30 00:00:00+00:00,16417.5,16419.25,15972.5,16070.25,666937
2024-05-01 00:00:00+00:00,15961.5,16292.25,15898.25,15937.25,780825
2024-05-02 00:00:00+00:00,15986.0,16254.25,15885.25,16148.75,627153
2024-05-03 00:00:00+00:00,16243.25,16549.25,16218.5,16499.75,546752
2024-05-06 00:00:00+00:00,16546.5,16700.25,16482.75,16694.5,389298
2024-05-07 00:00:00+00:00,16688.5,16765.25,16650.0,16698.5,464788
2024-05-08 00:00:00+00:00,16693.0,16741.25,16571.5,16685.5,450639
2024-05-09 00:00:00+00:00,16659.75,16739.25,16602.75,16713.5,468858
